order_id,order_date,region,city,customer_lat,customer_lon,depot_id,depot_lat,depot_lon,vehicle_id_planned,priority,package_weight_kg,service_time_min,time_window_start,time_window_end,distance_km_est,traffic_factor,travel_time_min_est,delivery_duration_min_est,delivered_late,fuel_cost_est,co2_kg_est,status
ORD00001,2024-01-07,East,Lagos,6.499308023769473,3.469342861281983,DEP2,6.617197576724562,3.4186633936788144,VEH15,Low,8.22,28,07:00:00,09:00:00,17.29,0.84,21.8,49.8,False,10.37,4.32,Delivered
ORD00002,2024-05-31,West,Lagos,6.597635229154987,3.399423002348642,DEP1,6.607629031118418,3.187433797718321,VEH2,Low,48.51,11,09:00:00,11:00:00,83.58,0.95,119.1,130.1,False,50.15,20.89,Pending
ORD00003,2024-02-20,West,Ibadan,7.31386499344142,3.8836809019706866,DEP2,7.2991968971838155,3.9569025726528952,VEH29,High,21.88,13,18:00:00,20:00:00,30.54,1.23,56.3,69.3,False,18.32,7.63,Pending
ORD00004,2024-03-28,East,Port Harcourt,4.743498772130408,7.008228929707044,DEP2,4.762144737317477,7.032227993686814,VEH14,Medium,39.37,8,07:00:00,09:00:00,21.57,1.16,37.5,45.5,False,12.94,5.39,In Transit
ORD00005,2024-06-03,East,Kano,12.020682913772408,8.501190082544,DEP1,12.045217940760576,8.460109649474918,VEH47,Medium,3.72,22,07:00:00,09:00:00,94.99,1.48,210.9,232.9,False,56.99,23.75,In Transit
ORD00006,2024-05-21,East,Lagos,6.586079469623292,3.3401227538346743,DEP5,6.363468845602553,3.452893210604863,VEH24,High,22.29,11,17:00:00,19:00:00,13.96,1.15,24.1,35.1,True,8.38,3.49,Delivered
ORD00007,2024-07-16,East,Abuja,8.983377704223043,7.480464080415756,DEP1,8.980011992640007,7.463608913741593,VEH15,Low,15.93,17,10:00:00,12:00:00,52.97,1.18,93.8,110.8,False,31.78,13.24,In Transit
ORD00008,2024-04-04,East,Abuja,9.013470891105104,7.492516925552912,DEP2,9.186553129344444,7.574399576625676,VEH43,Medium,44.79,27,16:00:00,18:00:00,60.59,1.45,131.8,158.8,False,36.35,15.15,Delivered
ORD00009,2024-05-16,South,Abuja,8.994198500410382,7.337796572483829,DEP2,8.894590915564214,7.328732132305306,VEH30,Medium,19.74,13,16:00:00,18:00:00,28.59,1.38,59.2,72.2,False,17.15,7.15,Pending
ORD00010,2024-07-15,North,Kano,11.973550665338719,8.548086901937477,DEP2,12.019278433263299,8.448269689989905,VEH3,Medium,40.21,17,10:00:00,12:00:00,9.31,1.49,20.8,37.8,True,5.59,2.33,Delivered
